ts_code,name,market,list_date,m_fee,c_fee,issue_amount,benchmark,invest_type,industry,cleaned_benchmark_name,benchmark_code,excess_return_mean,tracking_error,excess_return_5d_ma,excess_return_10d_ma,excess_return_15d_ma,excess_return_20d_ma,turnover_1y_mean,turnover_rate,turnover_6m_vs_3y,turnover_1y_std,low_quantile_turnover,turnover_ratio_1w,turnover_ratio_1m,turnover_acceleration,turnover_quantile,is_price_turnover_divergence,annualized_volatility,max_drawdown,latest_discount_rate,discount_quantile_1y,discount_quantile_3y,change_5d_discount,change_10d_discount,volatility_quantile_1y,volatility_quantile_3y,max_drawdown_quantile_1y,max_drawdown_quantile_3y,volatility_slope,max_drawdown_slope,excess_return_vs_yoy,turnover_rate_vs_yoy,latest_discount_vs_yoy,turnover_6m_mean,turnover_3y_mean,data_status,turnover_pct_in_industry,turnover_pct_in_industry_quantile
159695.SZ,通信ETF,E,2023-05-10,0.5,0.1,4.2281,国证通信指数收益率,被动指数型,科技,国证通信指数,399389.SZ,0.0018062391681109259,4.41411722200785,-0.033219999999999764,-0.006459999999999788,-0.01507333333333319,-0.002069999999999861,12701.899164658635,0.030041624286697648,1.3769388867447045,10981.186990338043,3861.5488,0.7875642652728175,0.7875642652728175,1.0,1.0,True,59.22396206484243,0.29012907623825646,-0.00021303792074987002,0.4939759036144578,0.43500866551126516,0.004400512439521712,0.0024223939972588845,0.9236947791164659,0.9659498207885304,0.44779116465863456,0.29301075268817206,1.5067481484400418,0.0034357476478402292,0.0036026247102795934,0.003039338993114437,0.00037973711182881585,13854.398353846153,10061.738024263432,ok,0.0023768923313641915,0.5291005291005291
159670.SZ,消费ETF基金,E,2023-05-09,0.5,0.1,2.1971,中证消费50指数收益率,被动指数型,消费,中证消费50指数,000126.SH,0.007901211072664357,9.709194011289135,-0.25775999999999993,-0.07343000000000006,-0.2572466666666667,-0.35364,4557.152257028112,0.020741669732957595,0.5985837021576689,5665.526716572203,934.9358,0.1304658640935779,0.1304658640935779,1.0,0.8269230769230769,False,13.328473083472197,0.22297010830952746,0.0,0.44176706827309237,0.39100346020761245,0.0031910650179498325,-0.00010151253679828341,0.40562248995983935,0.3363148479427549,0.004016064257028112,0.30590339892665475,-0.03644984023994279,-0.0009677569721011288,0.041890769305596064,0.00044865436896646474,0.001023413712880502,2796.0477538461537,4671.105717993079,ok,0.0032732614404140173,0.5767195767195767
513560.SH,香港科技ETF,E,2023-02-13,0.5,0.1,4.4939,中证港股通科技指数收益率,被动指数型,科技,中证港股通科技指数,931573.CSI,0.06331772357723577,20.575868261675602,-0.013800000000000168,0.08134000000000009,-0.022746666666666738,0.12137000000000013,221906.27884738956,0.4937944298880473,2.4856083807292073,318314.8764952002,2590.1007999999997,1.752663926656134,1.752663926656134,1.0,0.5961538461538461,False,26.036177624403134,0.3663064416826213,-0.011721159777914793,0.10441767068273092,0.1918238993710692,-0.00039206334243539927,-0.010158341268707776,0.5502008032128514,0.5283630470016207,0.09839357429718876,0.03970826580226904,0.38203263279806104,0.0002435500399422013,-0.04616987972854937,0.006991629045387915,-0.00784578241781033,224338.66855384616,90255.03385534592,ok,0.0052895917583113345,0.6455026455026455
159688.SZ,恒生互联网ETF,E,2023-02-15,0.5,0.15,6.8378,恒生互联网科技业指数收益率(经汇率调整),被动指数型,科技,恒生互联网科技业指数(经汇率调整),h30535.CSI,-0.07894132492113562,33.09938153907216,0.6431200000000008,-0.5111300000000002,-1.0552333333333335,-1.405725,231776.04702811243,0.338962893076885,1.505289833844305,154473.1214477408,71140.4044,1.439459827722367,1.439459827722367,1.0,0.5192307692307693,False,24.571209733408658,0.38256762788083787,-0.002977298101972545,0.5823293172690763,0.6246056782334385,0.004709241080629615,-0.0020435912859126833,0.3453815261044177,0.21300813008130082,0.08634538152610442,0.038211382113821135,0.32822277505200215,-0.00031712586651781255,0.11280325339211739,0.004188043818786125,0.001650309851312441,222279.94441538464,147665.87763880126,ok,0.004344332490295131,0.6243386243386243
513310.SH,中韩半导体ETF,E,2022-12-22,0.8,0.15,3.5443,中证韩交所中韩半导体指数收益率,被动指数型,科技,中证韩交所中韩半导体指数,931790.CSI,-0.011739864864864858,6.892399145017119,0.012939999999999929,-0.04368000000000001,,,853759.4959919677,2.408824016003069,1.5958708672356672,1112379.0431993501,108863.32280000001,36.65139690206811,36.65139690206811,1.0,0.9615384615384616,False,40.75799723431748,0.22678807302351625,0.004726751287906903,0.6947791164658634,0.775112443778111,-0.0019867061426697826,0.007250512228679026,0.8353413654618473,0.9151234567901234,0.3634538152610442,0.46219135802469136,1.3865036771122625,0.0013406662699268078,0.005660135135135138,0.14080374202279833,0.0014813684775607664,576562.0280538461,361283.63509295357,ok,0.11061500384369682,0.9629629629629629
588290.SH,科创芯片ETF基金,E,2022-10-26,0.15,0.05,3.614,上证科创板芯片指数收益率,被动指数型,科技,上证科创板芯片指数,000685.SH,-0.0007375706214689278,4.930206665589673,-0.09717999999999982,-0.21427999999999997,-0.03564666666666653,-0.011804999999999921,217215.13901606426,0.6010380160931496,1.2198204849417131,158228.54028798072,67156.84820000001,4.521558915329275,4.521558915329275,1.0,0.8653846153846154,False,72.63744443698118,0.48208216697297945,0.003945770942937984,0.9879518072289156,0.9943502824858758,0.006007047060243315,0.02351011140280069,0.8835341365461847,0.9579100145137881,0.6606425702811245,0.3969521044992743,2.9959926947085633,0.0018568210015035256,-0.00866568307126812,0.015054358385395483,0.004685347393684162,163180.37603076923,133774.09056920905,ok,0.013646199028513089,0.8042328042328042
588200.SH,科创芯片ETF,E,2022-10-26,0.5,0.1,3.6689,上证科创板芯片指数收益率,被动指数型,科技,上证科创板芯片指数,000685.SH,0.0020836158192090335,5.286169424236601,-0.22665999999999994,-0.24859000000000003,-0.038213333333333314,0.0076299999999999545,2757224.719650603,7.51512638570308,1.712153116882446,2198187.7591612423,663148.8512,58.5371540952329,58.5371540952329,1.0,0.8461538461538461,False,69.07244227011157,0.47759913341448784,0.007018584420719756,0.9959839357429718,0.998587570621469,0.011455303992599206,0.0244518553751173,0.8795180722891566,0.9564586357039188,0.5040160642570282,0.34034833091436867,2.69883152855712,0.0008366328130702273,-0.009886665305288929,0.21550404328754436,0.007874423078065356,2073660.049361538,1211141.7074293785,ok,0.17666686872930332,0.9894179894179894
159637.SZ,新能源车龙头ETF,E,2022-09-01,0.5,0.05,6.9677,中证新能源汽车指数收益率,被动指数型,科技,中证新能源汽车指数,000941.CSI,0.035702581521739135,11.558110062316304,-0.5441000000000003,-0.11284999999999998,-0.06183999999999997,-0.022550000000000025,13496.76116064257,0.019370468247258882,0.4411237322482616,11138.233918366363,3741.9368,0.3929435308638431,0.3929435308638431,1.0,1.0,False,38.838116398560764,0.5474551952076581,-0.020665322580645264,0.004016064257028112,0.001358695652173913,-0.009991089368917095,-0.020665322580645264,0.7991967871485943,0.9107391910739191,0.004016064257028112,0.18549511854951187,0.276482264613103,-0.0019276346823172894,-0.034105852213200616,0.001345067259004011,-0.020513511912965597,13771.82909230769,31219.877974184783,ok,0.0011859152406386783,0.38095238095238093
159636.SZ,港股通科技30ETF,E,2022-07-20,0.45,0.07,9.9725,国证港股通科技指数收益率(经汇率调整后),被动指数型,科技,国证港股通科技指数(经汇率调整后),931573.CSI,0.06170658263305324,19.636972598998256,0.2464600000000005,0.23096,0.0948333333333334,0.07253499999999995,598205.7579718876,0.5998553602124719,3.1887357839062833,424360.8720757718,78598.5522,4.922155131611933,4.922155131611933,1.0,0.8653846153846154,True,25.629299897388204,0.4258196375752676,-0.009341855728032655,0.39357429718875503,0.3039348710990502,0.0020152460546010685,-0.0070025915329522985,0.5100401606425703,0.32172701949860727,0.06827309236947791,0.036211699164345405,0.3490608867647511,-0.0007841479052029096,-0.03757358265620294,0.019026893914087073,-0.0019272408724313453,791184.3413384616,248118.50054545456,ok,0.014855210300914993,0.8148148148148148
560990.SH,中金科技先锋ETF,E,2022-06-27,0.5,0.05,3.8819,中证科技先锋指数收益率,被动指数型,科技,中证科技先锋指数,931186.CSI,-0.04294436906377206,11.54034543082435,0.41185999999999945,0.1915299999999999,0.1285399999999999,-0.14367000000000008,958.431453815261,0.002468975125106935,0.12277600281368317,1053.5369521466566,33.409800000000004,0.029548556119426053,0.029548556119426053,1.0,0.9423076923076923,False,35.55817437997685,0.34873794783530515,0.0014792899408282395,0.678714859437751,0.7096336499321574,0.005333208090947511,-0.00035486393502851574,0.8955823293172691,0.9637883008356546,0.12650602409638553,0.07311977715877438,0.8602684272834911,2.2804031249377015e-05,0.01467049037397894,7.029417031841024e-05,0.0007461457132965366,1087.794107692308,8859.989597014925,ok,8.917841951452534e-05,0.1111111111111111
